epoch,stage,train_acc,train_loss,val_acc,val_loss,lr
1,stage1,0.008809,4.798845,0.015000,11.170598,4.95e-04
2,stage1,0.036443,4.649830,0.117500,4.315238,4.78e-04
3,stage1,0.324555,3.569640,0.611667,2.698039,4.52e-04
4,stage1,0.635664,2.356909,0.735000,1.925146,4.17e-04
5,stage1,0.722737,1.909655,0.772500,1.676714,3.75e-04
6,stage1,0.757975,1.729369,0.785000,1.588549,3.28e-04
7,stage1,0.785886,1.647567,0.798333,1.538771,2.77e-04
8,stage1,0.799332,1.591703,0.813333,1.496945,2.24e-04
9,stage1,0.807400,1.559358,0.812500,1.507502,1.73e-04
10,stage1,0.814447,1.531590,0.814167,1.477222,1.26e-04
11,stage1,0.820197,1.516931,0.816667,1.485316,8.36e-05
12,stage1,0.826502,1.500259,0.820833,1.458502,4.87e-05
13,stage1,0.829748,1.495072,0.822500,1.452673,2.26e-05
14,stage1,0.834570,1.480483,0.824167,1.450830,6.45e-06
15,stage1,0.833642,1.483493,0.817500,1.463185,1.00e-06
16,stage2,0.842452,1.421082,0.850833,1.334626,9.94e-05
17,stage2,0.870734,1.320270,0.863333,1.284516,9.76e-05
18,stage2,0.876576,1.281503,0.867500,1.239013,9.46e-05
19,stage2,0.884644,1.247509,0.877500,1.212300,9.05e-05
20,stage2,0.898832,1.216765,0.878333,1.198792,8.54e-05
21,stage2,0.904766,1.194497,0.887500,1.186644,7.94e-05
22,stage2,0.908290,1.179420,0.884167,1.178538,7.27e-05
23,stage2,0.913947,1.161838,0.888333,1.174209,6.55e-05
24,stage2,0.920994,1.145842,0.888333,1.166802,5.79e-05
25,stage2,0.919789,1.140502,0.893333,1.153770,5.01e-05
26,stage2,0.923961,1.126076,0.893333,1.153101,4.22e-05
27,stage2,0.928134,1.116125,0.894167,1.149647,3.46e-05
28,stage2,0.932771,1.110322,0.901667,1.144889,2.74e-05
29,stage2,0.934162,1.107412,0.897500,1.145192,2.07e-05
30,stage2,0.935924,1.100033,0.898333,1.143247,1.47e-05
31,stage2,0.936387,1.097542,0.897500,1.142735,9.64e-06
32,stage2,0.938984,1.095532,0.896667,1.146484,5.54e-06
33,stage2,0.941024,1.090757,0.908333,1.138381,2.54e-06
34,stage2,0.934625,1.097314,0.896667,1.139224,7.15e-07
35,stage2,0.938798,1.093212,0.897500,1.144044,1.00e-07
36,stage3,0.934904,1.096948,0.905833,1.136720,4.98e-05
37,stage3,0.940746,1.079687,0.904167,1.131901,4.92e-05
38,stage3,0.942971,1.076508,0.905833,1.130620,4.82e-05
39,stage3,0.944640,1.072015,0.905833,1.126780,4.69e-05
40,stage3,0.949277,1.061707,0.909167,1.125409,4.52e-05
41,stage3,0.948257,1.056478,0.905833,1.122117,4.32e-05
42,stage3,0.951224,1.050455,0.909167,1.119494,4.09e-05
43,stage3,0.952059,1.048658,0.910000,1.113853,3.84e-05
44,stage3,0.954841,1.041875,0.907500,1.114581,3.56e-05
45,stage3,0.955026,1.037593,0.910833,1.115615,3.27e-05
46,stage3,0.959662,1.027518,0.908333,1.116023,2.97e-05
47,stage3,0.960590,1.030133,0.912500,1.111638,2.66e-05
48,stage3,0.962630,1.022914,0.906667,1.113071,2.34e-05
49,stage3,0.958735,1.021435,0.906667,1.110839,2.03e-05
50,stage3,0.963743,1.019187,0.910000,1.113061,1.73e-05
51,stage3,0.963650,1.019736,0.908333,1.109199,1.44e-05
52,stage3,0.962166,1.015313,0.907500,1.113221,1.16e-05
53,stage3,0.964021,1.013417,0.910000,1.111297,9.07e-06
54,stage3,0.963650,1.013545,0.913333,1.107417,6.78e-06
55,stage3,0.964021,1.013071,0.913333,1.103881,4.78e-06
56,stage3,0.966524,1.010400,0.910000,1.110431,3.10e-06
57,stage3,0.963186,1.010629,0.911667,1.106586,1.77e-06
58,stage3,0.963279,1.014075,0.910000,1.106854,7.95e-07
59,stage3,0.965597,1.009413,0.915000,1.108289,2.07e-07
60,stage3,0.963557,1.011423,0.907500,1.108540,1.00e-08
